epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,289.78,1.06962,0.82417,1.13456,0.79361,0.65253,0.75824,0.47439,1.35214,1.14192,1.35532,0.000655367,0.000655367,0.000655367
2,491.198,1.15976,0.92695,1.17948,0.68925,0.63333,0.70278,0.41027,1.47922,1.30281,1.50052,0.00129586,0.00129586,0.00129586
3,4383.23,1.22663,0.99228,1.22822,0.73058,0.59091,0.67933,0.38904,1.49155,1.3357,1.51237,0.00190995,0.00190995,0.00190995
4,4564.99,1.29585,1.10216,1.2899,0.66274,0.63716,0.68042,0.38914,1.51877,1.29085,1.51357,0.0018812,0.0018812,0.0018812
5,4749.51,1.27298,1.07046,1.2633,0.67185,0.53333,0.59827,0.34103,1.4566,1.55932,1.47039,0.0018416,0.0018416,0.0018416
6,4938.53,1.23636,1.08086,1.2426,0.69729,0.62824,0.67944,0.38655,1.52399,1.35669,1.51199,0.001802,0.001802,0.001802
7,14037,1.24604,1.08369,1.24008,0.72216,0.57496,0.66079,0.37924,1.51368,1.46126,1.51195,0.0017624,0.0017624,0.0017624
8,14315.6,1.2622,1.0952,1.25629,0.74939,0.57992,0.67229,0.39094,1.4716,1.33633,1.46051,0.0017228,0.0017228,0.0017228
9,14612.3,1.24326,1.01939,1.2285,0.80021,0.64242,0.72144,0.42823,1.43499,1.21652,1.46354,0.0016832,0.0016832,0.0016832
10,14875.5,1.20076,1.00556,1.21221,0.71491,0.6459,0.69881,0.40374,1.47584,1.26252,1.46362,0.0016436,0.0016436,0.0016436
11,15113.8,1.1962,0.98465,1.20601,0.74743,0.66364,0.74053,0.44217,1.38253,1.24578,1.39702,0.001604,0.001604,0.001604
12,15355,1.21023,0.97688,1.20816,0.73552,0.61212,0.69313,0.40878,1.45599,1.22702,1.45915,0.0015644,0.0015644,0.0015644
13,15615.9,1.20707,0.97934,1.21234,0.72274,0.65455,0.71039,0.41834,1.44495,1.24915,1.42743,0.0015248,0.0015248,0.0015248
14,16092.7,1.14303,0.93462,1.17649,0.73144,0.66851,0.72715,0.42023,1.4775,1.22363,1.49669,0.0014852,0.0014852,0.0014852
15,16436.7,1.18749,0.94877,1.1983,0.69597,0.68485,0.72599,0.41557,1.45037,1.25582,1.4657,0.0014456,0.0014456,0.0014456
16,16672.2,1.14262,0.90881,1.18831,0.77694,0.60303,0.70989,0.41036,1.42861,1.21176,1.41568,0.001406,0.001406,0.001406
17,17094.2,1.15584,0.93356,1.18298,0.85031,0.61969,0.74489,0.45656,1.33461,1.18335,1.34578,0.0013664,0.0013664,0.0013664
18,17360.7,1.15553,0.9345,1.18896,0.75298,0.6189,0.71345,0.42334,1.40935,1.39494,1.42465,0.0013268,0.0013268,0.0013268
19,17598.1,1.12741,0.89189,1.17006,0.81696,0.64242,0.73572,0.42549,1.44125,1.18464,1.44396,0.0012872,0.0012872,0.0012872
20,17826.1,1.12045,0.85989,1.16118,0.77645,0.67273,0.74812,0.46069,1.40685,1.16255,1.42508,0.0012476,0.0012476,0.0012476
21,18103.2,1.11451,0.85819,1.168,0.79308,0.68182,0.75502,0.45629,1.37061,1.10978,1.38215,0.001208,0.001208,0.001208
22,18329.5,1.10126,0.84594,1.16012,0.76323,0.6697,0.7374,0.44639,1.40803,1.16665,1.40791,0.0011684,0.0011684,0.0011684
23,18601.3,1.0957,0.81975,1.14507,0.74153,0.6868,0.76573,0.45324,1.43488,1.06883,1.45294,0.0011288,0.0011288,0.0011288
24,18829.6,1.09,0.79888,1.15038,0.74709,0.6803,0.75086,0.46591,1.37504,1.11596,1.36147,0.0010892,0.0010892,0.0010892
25,19064.2,1.08436,0.83619,1.1399,0.74589,0.66712,0.73647,0.45041,1.39589,1.12003,1.39569,0.0010496,0.0010496,0.0010496
26,19281.8,1.09139,0.8028,1.14492,0.70323,0.68935,0.74384,0.45378,1.36335,1.11929,1.3869,0.00101,0.00101,0.00101
27,19509.4,1.05649,0.80725,1.13553,0.7095,0.72424,0.75516,0.47129,1.37323,1.11104,1.3871,0.0009704,0.0009704,0.0009704
28,19751.2,1.0162,0.75467,1.10698,0.80693,0.6303,0.7594,0.46191,1.40009,1.05897,1.4128,0.0009308,0.0009308,0.0009308
29,19992.3,1.04362,0.78701,1.11976,0.7677,0.71103,0.77765,0.48534,1.36474,1.07136,1.37736,0.0008912,0.0008912,0.0008912
30,20237.1,1.03568,0.76928,1.11407,0.74056,0.70303,0.77103,0.47461,1.38657,1.05522,1.3814,0.0008516,0.0008516,0.0008516
31,20470.5,1.04255,0.77275,1.13791,0.78211,0.65455,0.74614,0.46031,1.44292,1.1656,1.46963,0.000812,0.000812,0.000812
32,20710,1.02326,0.76405,1.10275,0.7496,0.67273,0.76107,0.4728,1.34996,1.18202,1.41388,0.0007724,0.0007724,0.0007724
33,20945,1.00954,0.77677,1.10487,0.76009,0.68485,0.75876,0.48091,1.32832,1.09705,1.36511,0.0007328,0.0007328,0.0007328
34,21190.3,1.01216,0.73447,1.10203,0.75551,0.67576,0.73681,0.47484,1.33349,1.11218,1.36636,0.0006932,0.0006932,0.0006932
35,21580.8,1.00119,0.71338,1.08441,0.84296,0.62727,0.76234,0.48106,1.3577,1.06506,1.3818,0.0006536,0.0006536,0.0006536
36,21982.1,0.96836,0.72781,1.09923,0.83307,0.63517,0.76223,0.47469,1.34556,1.06933,1.36556,0.000614,0.000614,0.000614
37,22392.2,0.99205,0.71113,1.08224,0.73411,0.69091,0.75221,0.45363,1.426,1.09489,1.44244,0.0005744,0.0005744,0.0005744
38,22810.8,0.95314,0.68629,1.09466,0.85723,0.6186,0.76426,0.47584,1.36313,1.07246,1.36375,0.0005348,0.0005348,0.0005348
39,23203.1,0.93378,0.66867,1.07024,0.83471,0.65455,0.75807,0.47771,1.33231,1.07021,1.35181,0.0004952,0.0004952,0.0004952
40,23600.1,0.99048,0.69317,1.09295,0.77969,0.71852,0.77484,0.49528,1.31174,1.04269,1.34342,0.0004556,0.0004556,0.0004556
41,24003.7,0.91114,0.66111,1.0253,0.83574,0.6303,0.74895,0.47494,1.34936,1.1031,1.36605,0.000416,0.000416,0.000416
42,24407.3,0.90159,0.62885,1.06073,0.78697,0.64848,0.76996,0.47726,1.34624,1.09908,1.39117,0.0003764,0.0003764,0.0003764
43,24669.8,0.84844,0.5755,1.01448,0.81782,0.66364,0.77013,0.48695,1.35369,1.00788,1.37775,0.0003368,0.0003368,0.0003368
44,24920.2,0.86047,0.56671,1.01484,0.81387,0.63602,0.76488,0.48134,1.34111,1.04857,1.37218,0.0002972,0.0002972,0.0002972
45,25155.9,0.83325,0.55145,1.01081,0.84301,0.62121,0.76166,0.48099,1.34608,1.06412,1.37689,0.0002576,0.0002576,0.0002576
46,25381.2,0.83575,0.60692,1.01144,0.76235,0.67576,0.7604,0.48222,1.33741,1.07427,1.36579,0.000218,0.000218,0.000218
47,25611.2,0.83128,0.54275,1.00624,0.83072,0.63939,0.76013,0.48505,1.32115,1.04151,1.36591,0.0001784,0.0001784,0.0001784
48,25858.4,0.84069,0.56056,1.00779,0.82965,0.66061,0.7717,0.48978,1.33157,1.0316,1.37177,0.0001388,0.0001388,0.0001388
49,26095.7,0.8016,0.53479,0.98699,0.81249,0.66364,0.77585,0.49742,1.31672,1.01842,1.35918,9.92e-05,9.92e-05,9.92e-05
50,26345.2,0.80255,0.51746,0.98059,0.79852,0.68485,0.77633,0.50408,1.3049,1.01593,1.34633,5.96e-05,5.96e-05,5.96e-05
