epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.726,1.64093,2.49746,1.52175,0.87744,0.0868,0.342,0.16496,1.57439,2.97349,1.48925,0.000655367,0.000655367,0.000655367
2,529.861,1.60059,2.02743,1.46615,0.47283,0.41041,0.38224,0.18119,1.73934,2.41706,1.82141,0.00129586,0.00129586,0.00129586
3,793.79,1.62843,1.94161,1.5076,0.46316,0.35758,0.36074,0.17578,1.794,2.40835,1.80988,0.00190995,0.00190995,0.00190995
4,978.098,1.62919,1.92128,1.53339,0.54997,0.38485,0.42643,0.22186,1.72919,2.29878,1.79504,0.0018812,0.0018812,0.0018812
5,1167.14,1.60922,1.79316,1.48578,0.65098,0.47879,0.5231,0.26371,1.71835,2.00293,1.69426,0.0018416,0.0018416,0.0018416
6,1356.44,1.56854,1.70712,1.44912,0.6352,0.43939,0.51383,0.25797,1.64448,2.01344,1.5893,0.001802,0.001802,0.001802
7,1544.73,1.57801,1.68076,1.44384,0.59966,0.43636,0.50388,0.25862,1.63782,2.43523,1.59002,0.0017624,0.0017624,0.0017624
8,1737.2,1.54362,1.63046,1.43921,0.53428,0.55455,0.54069,0.28509,1.60623,1.8265,1.54961,0.0017228,0.0017228,0.0017228
9,1930.68,1.50023,1.49414,1.39914,0.65516,0.53939,0.60689,0.33257,1.60558,1.65213,1.59083,0.0016832,0.0016832,0.0016832
10,2121.45,1.46491,1.451,1.3727,0.68611,0.59697,0.65,0.36116,1.51902,1.51526,1.45819,0.0016436,0.0016436,0.0016436
11,2315.27,1.46311,1.45862,1.37318,0.58187,0.63253,0.60886,0.3265,1.57663,2.14499,1.57809,0.001604,0.001604,0.001604
12,2507.26,1.45556,1.41045,1.36435,0.62315,0.62727,0.64545,0.35806,1.52251,1.53486,1.47746,0.0015644,0.0015644,0.0015644
13,2695.16,1.43579,1.35499,1.35279,0.78563,0.54242,0.67513,0.3852,1.47713,1.45247,1.41099,0.0015248,0.0015248,0.0015248
14,2881.04,1.37275,1.31853,1.3151,0.72736,0.61515,0.69569,0.39566,1.45257,1.4072,1.4255,0.0014852,0.0014852,0.0014852
15,3067.71,1.40251,1.30587,1.33337,0.70122,0.55152,0.63067,0.36733,1.4747,1.84323,1.45409,0.0014456,0.0014456,0.0014456
16,3255.34,1.36095,1.27035,1.32038,0.61939,0.61818,0.6279,0.36133,1.44912,1.44305,1.40309,0.001406,0.001406,0.001406
17,3442.95,1.38533,1.27925,1.32327,0.76369,0.60909,0.70843,0.4113,1.43566,1.39857,1.4089,0.0013664,0.0013664,0.0013664
18,3635.51,1.32004,1.26675,1.29484,0.77214,0.60606,0.70619,0.38831,1.48503,1.41076,1.46076,0.0013268,0.0013268,0.0013268
19,3825.26,1.30402,1.21247,1.27968,0.76402,0.56905,0.68124,0.39549,1.46612,1.37192,1.45802,0.0012872,0.0012872,0.0012872
20,4013.27,1.30621,1.15937,1.26456,0.78488,0.60909,0.72165,0.42255,1.41173,1.27863,1.41083,0.0012476,0.0012476,0.0012476
21,4199.64,1.30818,1.17875,1.27488,0.72522,0.63981,0.70519,0.40279,1.45,1.29351,1.41012,0.001208,0.001208,0.001208
22,4386.65,1.30001,1.1651,1.27494,0.77803,0.63729,0.72269,0.41846,1.42673,1.33495,1.40658,0.0011684,0.0011684,0.0011684
23,4574.65,1.2826,1.13261,1.26073,0.7468,0.62424,0.7147,0.40238,1.52544,1.27986,1.48077,0.0011288,0.0011288,0.0011288
